country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,0,0.026,0,3.417
Albania,4,1.042,0,27.452
Algeria,2,0.228,0,12.839
Andorra,1,0,0,38.827
Angola,8,0.03,0,1.187
Antigua and Barbuda,8,0,0,0
Argentina,7,2.257,0,131.185
Armenia,7,3.375,0,119.464
Australia,2,0.196,0,14.784
Austria,2,0,1.777,19.431
Azerbaijan,4,0.69,0,31.363
Bahamas,7,0,0,167.833
Bahrain,7,0.588,0,133.405
Bangladesh,2,0.17,0,16.832
Barbados,8,0,0,0
Belarus,2,0.635,0,15.133
Belgium,3,0.086,4.142,64.282
Belize,8,0,0,0
Benin,8,0,0,0
Bhutan,8,0,0,0
Bolivia,7,7.11,0,133.213
Bosnia and Herzegovina,7,3.353,0,131.675
Botswana,8,0,0,0
Brazil,6,5.702,0,246.439
Brunei,8,0,0,0
Bulgaria,1,1.295,4.893,38.858
Burkina Faso,8,0,0,0
Burundi,8,0,0,0
Cambodia,8,0,0,0.299
Cameroon,8,0,0,0
Canada,2,0.159,0,16.003
Cape Verde,3,0,0,59.354
Central African Republic,8,0,0,0.621
Chad,8,0,0,0.061
Chile,7,4.185,0,111.476
China,8,0.001,0,0.115
Colombia,7,5.798,0,186.467
Comoros,8,0,0,0
Congo,8,0,0,0
Costa Rica,3,1.963,0,104.042
Cote d'Ivoire,0,0.076,0,2.616
Croatia,2,0.244,0,16.564
Cuba,8,0,0,0.971
Cyprus,4,0,0,27.4
Czechia,2,0.28,1.774,18.956
Democratic Republic of Congo,8,0,0,0.67
Denmark,5,0,0.518,11.049
Djibouti,0,0,0,3.036
Dominica,8,0,0,0
Dominican Republic,7,1.291,0,159.847
Ecuador,1,2.551,0,55.829
Egypt,0,0.303,0,3.137
El Salvador,3,1.388,0,61.978
Equatorial Guinea,6,22.809,0,1247.34
Eritrea,8,0,0,0
Estonia,5,0,0.754,9.8
Eswatini,3,0.862,0,61.198
Ethiopia,5,0.096,0,7.959
Fiji,8,1.116,0,0
Finland,8,0,0,1.624
France,1,0.414,5.316,41.793
Gabon,8,0,0,0
Gambia,1,0.414,0,39.31
Georgia,8,0,0,2.005
Germany,5,0.036,0,10.312
Ghana,5,0.225,0,11.553
Greece,5,0.288,0,7.292
Grenada,8,0,0,0
Guatemala,1,3.182,0,53.752
Guinea,0,0,0,5.026
Guinea-Bissau,8,0,0,0
Guyana,2,0,0,15.256
