country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,0,0,0,78.7
Albania,0,0,0,62.96
Algeria,0,0,0,74.07
Andorra,0,0,0,45.37
Angola,0,0,0,76.39
Antigua and Barbuda,1,0,0,0
Argentina,0,0.311,2.6,90.74
Armenia,1,0,0,0
Australia,2,2.345,171.9,68.06
Austria,2,1.008,126.9,35.19
Azerbaijan,0,0,0,96.3
Bahamas,1,0,0,0
Bahrain,0,0,21.9,69.44
Bangladesh,0,0.073,4.4,80.09
Barbados,0,0,0,54.63
Belarus,1,0,60,16.67
Belgium,0,1.146,46.9,50
Belize,0,0,0,69.44
Benin,1,0,0,41.67
Bhutan,0,0,0,62.96
Bolivia,0,0.243,1.6,84.26
Bosnia and Herzegovina,0,0,0,56.48
Botswana,0,0,0,57.41
Brazil,0,0,0,81.02
Brunei,0,0,0,49.07
Bulgaria,1,0,20,36.11
Burkina Faso,0,0,0,45.37
Burundi,1,0,0,13.89
Cambodia,1,0,0,38.89
Cameroon,0,0,0,60.19
Canada,2,1.141,102.6,67.13
Cape Verde,0,0.541,7.1,68.06
Central African Republic,0,0,0,53.7
Chad,0,0,0,67.59
Chile,0,0.669,7.3,84.72
China,0,0,0,78.24
Colombia,0,0.566,0,87.04
Comoros,1,0,0,0
Congo,0,0,0,62.04
Costa Rica,0,0.241,0,73.61
Cote d'Ivoire,0,0.043,5.9,60.65
Croatia,1,0.312,15.7,35.19
Cuba,4,0.265,844,66.67
Cyprus,4,2.814,744.8,47.22
Czechia,1,0.617,29.3,37.5
Democratic Republic of Congo,0,0.008,9.2,55.56
Denmark,4,2.872,393.1,54.63
Djibouti,0,0,0,50.93
Dominica,0,0,0,44.44
Dominican Republic,0,0.379,3,78.7
Ecuador,0,0.13,0,79.63
Egypt,0,0,0,60.19
El Salvador,0,0.382,7.4,89.81
Equatorial Guinea,1,0,0,0
Eritrea,0,0,0,89.81
Estonia,4,0.433,316.5,25.93
Eswatini,0,0,0,80.56
Ethiopia,0,0.063,14.2,80.56
Fiji,4,0.09,314.7,51.85
Finland,4,0.91,456.8,35.19
France,2,1.368,83.3,46.3
Gabon,0,0,0,66.67
Gambia,1,0,0,35.65
Georgia,0,0,0,51.85
Germany,0,0,0,55.09
Ghana,0,0.125,5.9,52.78
Greece,2,0.458,197,57.41
Grenada,1,0,0,0
Guatemala,0,0.195,2.4,96.3
Guinea,0,0,0,68.52
Guinea-Bissau,1,0,0,0
Guyana,0,0,0,77.31
Haiti,1,0,0,28.7
Honduras,0,0,0,96.3
Hungary,2,0.223,134,54.63
Iceland,2,0.144,110.6,39.81
India,0,0.249,8.6,77.78
Indonesia,0,0.043,7.9,62.5
International,1,0,0,0
Iran,0,0.313,10.7,58.8
Iraq,0,0.458,7.1,92.59
Ireland,4,0.935,378,38.89
Israel,0,3.328,15.4,54.63
Italy,2,0.816,197.7,58.33
Jamaica,2,0.212,79.4,64.81
Japan,1,0.129,21.3,25.93
Jordan,0,0,0,48.15
Kazakhstan,0,1.125,8.8,83.33
Kenya,0,0.08,8.1,81.48
Kosovo,0,0,0,54.63
Kuwait,0,0.969,6,77.78
Kyrgyzstan,0,0,0,76.39
Laos,1,0,0,20.37
Latvia,4,0.855,587.7,50
Lebanon,1,0,0,42.59
Lesotho,0,0,0,71.3
Liberia,0,0,0,67.59
Libya,0,0.252,0,90.74
Liechtenstein,1,0,0,0
Lithuania,2,0.248,173,31.48
Luxembourg,2,11.275,104.4,23.15
Madagascar,0,0,1.8,68.98
Malawi,0,0.024,4.3,60.19
Malaysia,4,0.222,492.1,47.22
Maldives,1,1.247,18.9,0
Mali,0,0,0,52.78
