country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,0,0,1.2,16.67
Albania,2,0,1.18,54.63
Algeria,1,0,1.15,75.93
Andorra,2,0,1.39,53.7
Angola,1,0,1.12,71.3
Antigua and Barbuda,0,0,0.27,0
Argentina,1,0.522,1.03,82.87
Armenia,0,0,1.43,0
Australia,1,0.001,0.98,68.06
Austria,2,0.059,1.23,40.74
Azerbaijan,1,0,1.53,66.2
Bahamas,0,0,1.15,0
Bahrain,1,0.041,0.9,63.89
Bangladesh,1,0.116,1.02,80.09
Barbados,2,0,0.93,29.63
Belarus,0,0.024,1.27,16.67
Belgium,2,0.103,1.56,45.37
Belize,1,0,1.16,69.44
Benin,2,0,0.94,47.22
Bhutan,1,0,0.8,77.78
Bolivia,1,0.219,0.77,84.26
Bosnia and Herzegovina,2,0,1.17,40.74
Botswana,1,0,0.76,63.89
Brazil,1,0,0.94,63.43
Brunei,2,0,0,35.19
Bulgaria,2,0.104,1.52,35.19
Burkina Faso,2,0,0.99,36.11
Burundi,0,0,0.76,14.81
Cambodia,2,0,0.58,37.04
Cameroon,2,0,0.92,41.67
Canada,1,0.026,1.18,60.65
Cape Verde,1,0.205,1.07,68.52
Central African Republic,2,0,0.55,56.48
Chad,1,0,1.01,73.15
Chile,1,0.049,0.96,81.94
China,1,0,1.07,61.57
Colombia,1,0,1.03,71.3
Comoros,0,0,0.64,0
Congo,2,0,0.59,56.48
Costa Rica,1,0,1.02,58.33
Cote d'Ivoire,2,0.041,0.93,36.11
Croatia,2,0.087,1.44,28.7
Cuba,1,0.003,0.83,64.81
Cyprus,2,0.009,1.68,50
Czechia,2,0.237,1.48,48.15
Democratic Republic of Congo,2,0,1.09,48.15
Denmark,2,0.01,1.13,41.67
Djibouti,2,0,1.4,47.22
Dominica,2,0,0,28.7
Dominican Republic,1,0.148,0.96,67.59
Ecuador,2,0,0.96,51.39
Egypt,1,0,1.04,62.96
El Salvador,2,0.038,1.1,52.78
Equatorial Guinea,0,0,0.52,0
Eritrea,1,0,0.42,82.41
Estonia,0,0.015,0.99,25.93
Eswatini,1,0,0.87,59.26
Ethiopia,1,0.116,0.99,65.74
Fiji,2,0,0,49.07
Finland,2,0.014,1.24,36.57
France,2,0.099,1.32,43.98
Gabon,1,0,1.07,74.07
Gambia,1,0,0.68,72.22
Georgia,1,0,1.29,61.11
Germany,2,0,1.46,49.54
Ghana,2,0.025,1.08,44.44
Greece,1,0.034,1.2,59.72
Grenada,0,0,0,0
Guatemala,2,0.141,0.99,49.54
Guinea,2,0,1.09,51.85
Guinea-Bissau,0,0,0.42,0
Guyana,1,0,1,72.22
Haiti,2,0,0.9,47.22
Honduras,1,0,1.03,84.26
Hong Kong,2,0,0,51.85
Hungary,2,0.107,1.15,40.74
Iceland,2,0.034,1.2,40.74
India,1,0.062,0.9,73.61
Indonesia,2,0.135,0.99,50.46
International,0,0,0,0
Iran,1,0.121,1.08,69.44
Iraq,1,0.165,0.91,61.11
Ireland,1,0.05,1.34,61.57
Israel,1,0.08,0.62,85.19
Italy,2,0.04,1.61,55.56
Jamaica,1,0.2,0.93,71.3
Japan,2,0.03,0.98,33.33
Jordan,1,0,1.36,78.7
Kazakhstan,1,0.015,1.18,78.7
Kenya,1,0.075,1.38,64.81
Kosovo,2,0,1.26,52.78
Kuwait,1,0.155,1.14,62.96
Kyrgyzstan,1,0,1.31,65.28
Laos,2,0,0,36.11
Latvia,2,0.023,1.44,32.41
Lebanon,1,0,1.12,59.26
Lesotho,2,0,0.86,47.22
Liberia,1,0,1.01,57.41
Libya,1,0,1.09,80.56
Liechtenstein,0,0,1.75,0
Lithuania,2,0.022,1.37,54.17
Luxembourg,2,0.02,1.43,47.22
Madagascar,2,0.072,0.58,44.44
Malawi,2,0.016,0.9,54.63
Malaysia,1,0.027,1.53,60.19
Maldives,0,0.041,0.92,0
Mali,2,0,1.11,37.96
Malta,0,0.031,1.39,0
Marshall Islands,0,0,0,0
Mauritania,0,0.025,0.98,17.59
Mauritius,0,0,0.73,16.67
Mexico,1,0.385,1.03,71.76
Moldova,2,0,1.02,48.15
Monaco,0,0,1.35,0
Mongolia,2,0,0.52,42.59
Montenegro,0,0,0.96,0
Morocco,1,0.115,1.11,60.19
Mozambique,1,0.087,1.07,62.04
Myanmar,1,0,1.22,81.02
Namibia,2,0.049,0.87,37.96
Nepal,1,0.218,1.24,63.89
Netherlands,1,0,1.37,62.04
New Zealand,0,0,0.82,22.22
Nicaragua,0,0,0.46,8.33
Niger,0,0,1.1,21.3
Nigeria,2,0.056,0.99,50.93
North Macedonia,0,0.187,1.34,0
Norway,2,0.012,1.11,32.41
Oman,1,0,1.11,84.26
Pakistan,1,0.02,1.05,67.13
Palestine,1,0.107,0.98,82.41
Panama,1,0.121,1,59.26
Papua New Guinea,2,0,0.71,45.37
Paraguay,1,0.27,1.02,67.59
Peru,1,0,0.91,82.41
Philippines,1,0.074,0.95,68.98
Poland,2,0.128,1.64,37.04
Portugal,1,0.048,1.38,56.94
