country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,0,0,1.21,8.33
Albania,2,0,1.07,65.74
Algeria,2,0,1.1,68.52
Andorra,2,0,1.07,59.26
Angola,2,0,1.04,57.41
Antigua and Barbuda,0,0,0.35,0
Argentina,2,0.378,0.91,79.17
Armenia,0,0,0.96,0
Australia,1,0,0.99,47.22
Austria,2,0.178,0.9,82.41
Azerbaijan,2,0,1.41,69.91
Bahamas,0,0,0.61,0
Bahrain,2,0.015,0.89,58.33
Bangladesh,2,0.143,1.1,80.09
Barbados,1,0,1.22,40.74
Belarus,0,0,1.16,22.22
Belgium,2,0.085,0.66,63.89
Belize,2,0,1.14,66.67
Benin,1,0,0.95,40.74
Bhutan,2,0,1,64.81
Bolivia,2,0.091,0.92,84.26
Bosnia and Herzegovina,1,0,1.16,48.15
Botswana,1,0,0.74,50.93
Brazil,1,0,1.14,54.17
Brunei,1,0,0,35.19
Bulgaria,2,0.399,1.11,57.41
Burkina Faso,0,0,1.02,22.22
Burundi,0,0,0.83,14.81
Cambodia,1,0,0.89,42.59
Cameroon,1,0,0.94,31.48
Canada,2,0.074,1.13,64.35
Cape Verde,2,0.18,1.06,71.3
Central African Republic,0,0,0.65,20.37
Chad,2,0,0.93,70.37
Chile,2,0.041,1,76.39
China,2,0,1.65,81.94
Colombia,2,0,1.04,60.19
Comoros,0,0,0.63,0
Congo,1,0,0.52,43.52
Costa Rica,1,0,1.12,55.56
Cote d'Ivoire,0,0.02,0.98,25
Croatia,1,0.342,1.27,41.67
Cuba,2,0.005,1.1,59.26
Cyprus,2,0.044,1.19,72.22
Czechia,2,0.208,0.84,69.44
Democratic Republic of Congo,0,0.151,1.11,22.22
Denmark,1,0.016,1.1,45.37
Djibouti,1,0,0.77,37.96
Dominica,0,0,0,25.93
Dominican Republic,0,0.145,1.24,0
Ecuador,1,0,1.07,52.78
Egypt,2,0,1.2,60.19
El Salvador,1,0.064,1.13,47.22
Equatorial Guinea,0,0,0.58,0
Eritrea,2,0,0.43,75
Estonia,1,0.064,1.3,37.96
Eswatini,1,0,1.38,38.89
Ethiopia,1,0.1,1.31,51.85
Fiji,1,0.004,0,49.07
Finland,1,0.024,1.29,42.13
France,2,0.064,0.85,78.7
Gabon,2,0,1.11,66.67
Gambia,1,0,0.57,36.11
Georgia,2,0,1.17,64.81
Germany,2,0,1.12,64.81
Ghana,1,0.05,1.11,38.89
Greece,2,0.102,1.06,78.7
Grenada,0,0,0,0
Guatemala,1,0.136,1.02,49.54
Guinea,1,0,1.09,56.48
Guinea-Bissau,0,0,0.39,0
Guyana,2,0,1.02,68.52
Haiti,1,0,0.97,41.67
Honduras,2,0,1.04,87.04
Hungary,2,0.224,1.14,72.22
Iceland,1,0.019,0.88,52.78
India,2,0.04,0.98,68.98
Indonesia,2,0.147,1.13,64.35
International,0,0,0,0
Iran,2,0.325,1.1,70.83
Iraq,1,0.084,0.95,51.85
Ireland,2,0.025,0.77,81.48
Israel,2,0.019,1.15,65.74
Italy,2,0.133,0.91,79.63
Jamaica,0,0.094,1.02,0
Japan,1,0.064,1.24,40.74
Jordan,2,0.194,1.01,78.7
Kazakhstan,2,0.027,1.22,66.2
Kenya,2,0.111,1.05,62.96
Kosovo,2,0,1.22,74.07
Kuwait,2,0.064,0.73,62.96
Kyrgyzstan,1,0,0.93,56.02
Laos,1,0,0,33.33
Latvia,1,0.082,1.33,53.7
Lebanon,2,0,1.08,87.04
Lesotho,1,0,0.83,47.22
Liberia,2,0,1.06,57.41
Libya,2,0,1.01,79.63
Liechtenstein,0,0,0.97,0
Lithuania,2,0.161,1.26,62.96
Luxembourg,2,0.05,1.1,60.19
Madagascar,1,0.038,0.48,37.04
Malawi,1,0.009,0.84,50.93
Malaysia,2,0.075,1.09,80.09
Maldives,0,0.039,1.09,0
Mali,1,0,1.16,37.96
Malta,0,0.041,0.97,0
Marshall Islands,0,0,0,0
Mauritania,0,0.081,1.75,17.59
Mauritius,0,0,0.78,16.67
Mexico,2,0,1.08,71.76
Moldova,1,0,1.16,48.15
Monaco,0,0,0.74,0
Mongolia,2,0,1.41,85.19
Montenegro,0,0,0.98,0
Morocco,2,0.201,0.98,66.2
Mozambique,1,0.063,1.06,56.48
Myanmar,2,0,1.08,79.63
Namibia,1,0.062,1.17,37.96
Nepal,2,0.186,0.9,60.19
Netherlands,1,0,0.93,56.48
New Zealand,0,0.001,1.17,22.22
Nicaragua,0,0,0.62,8.33
Niger,0,0,1.48,24.07
Nigeria,1,0.038,1.09,50.93
North Macedonia,0,0.376,1.05,0
Norway,1,0.027,0.99,52.78
Oman,1,0,0.95,37.04
Pakistan,2,0.072,1.26,64.35
Palestine,2,0.244,1.42,62.5
Panama,2,0.137,1.2,58.33
Papua New Guinea,1,0,0.72,37.96
Paraguay,2,0.248,1.1,63.89
Peru,2,0,0.97,67.59
Philippines,2,0.048,0.93,68.98
Poland,2,0.495,0.92,71.3
Portugal,2,0.131,1.01,78.7
Qatar,2,0.047,0.94,64.81
Romania,2,0.269,1.05,76.85
Russia,1,0.049,1.1,55.09
Rwanda,1,0.015,1.28,52.78
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0.85,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,1,0,1.27,40.74
Sao Tome and Principe,0,0,0.81,0
Saudi Arabia,1,0.006,0.91,50
Senegal,1,0.023,1.31,37.96
Serbia,2,0.343,1.44,60.19
Seychelles,1,0,0.16,31.48
Sierra Leone,1,0,0.94,40.74
Singapore,1,0,0.96,47.22
Slovakia,2,0.174,1,58.33
Slovenia,2,0.254,1.07,68.52
Solomon Islands,1,0,0,43.52
Somalia,1,0,0.73,37.96
South Africa,1,0.122,1.28,44.44
South Korea,1,0.023,1.45,48.15
South Sudan,1,0.023,1.13,50.93
Spain,2,0.075,0.95,71.3
Sri Lanka,1,0.041,1.09,49.54
Sudan,1,0,1.39,28.7
Suriname,2,0,0.84,60.19
Sweden,1,0.125,1.49,53.7
Switzerland,2,0.172,0.95,57.41
Syria,1,0,1.12,54.17
Taiwan,0,0.012,1.13,23.15
Tajikistan,1,0,0.96,33.33
Tanzania,0,0,0,13.89
Thailand,1,0.003,1.18,50
Timor,1,0,0,27.78
Togo,1,0.02,1.04,52.78
Trinidad and Tobago,2,0.422,1.09,65.74
Tunisia,2,0,1.02,68.52
Turkey,2,0.1,4.74,66.2
Uganda,1,0.139,1.19,53.7
Ukraine,0,0.313,1.17,0
United Arab Emirates,1,0.011,1.03,49.07
United Kingdom,2,0.057,0.81,63.89
United States,2,0,1.08,75.46
Uruguay,1,0.028,1.22,43.52
Uzbekistan,1,0,0.89,39.81
Vanuatu,1,0,0,30.56
Vatican,0,0,0,0
Venezuela,2,0,0.97,87.96
Vietnam,1,0,1.16,46.76
Yemen,0,0,1.71,24.07
Zambia,1,0.006,0.9,45.37
