country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,2,0,0,27.78
Albania,1,0,0,51.85
Algeria,2,0,0,16.67
Andorra,0,0,0,0
Angola,0,0,0,8.33
Antigua and Barbuda,0,0,0,0
Argentina,2,0.135,0,25
Armenia,0,0,0,0
Australia,2,0,2.12,19.44
Austria,2,0.097,2.89,30.56
Azerbaijan,2,0,0,36.11
Bahamas,0,0,0,0
Bahrain,2,0,1.31,30.56
Bangladesh,2,0.039,0,13.89
Barbados,2,0,0,16.67
Belarus,0,0.001,0,0
Belgium,2,0.054,2.45,19.44
Belize,2,0,0,13.89
Benin,2,0,0,16.67
Bhutan,2,0,0,31.48
Bolivia,1,0,0,67.59
Bosnia and Herzegovina,1,0,0,40.28
Botswana,2,0,0,13.89
Brazil,0,0,0,11.11
Brunei,2,0,0,30.56
Bulgaria,2,0,0,26.85
Burkina Faso,0,0,0,0
Burundi,0,0,0,11.11
Cambodia,2,0,0,19.44
Cameroon,0,0,0,0
Canada,2,0,0,13.89
Cape Verde,2,0,0,19.44
Central African Republic,0,0,0,0
Chad,2,0,0,16.67
Chile,0,0,0,0
China,1,0,0.22,81.02
Colombia,2,0,0,14.81
Comoros,0,0,0,0
Congo,0,0,0,5.56
Costa Rica,2,0,0,29.63
Cote d'Ivoire,0,0,0,0
Croatia,2,0.054,0,22.22
Cuba,2,0,0,13.89
Cyprus,2,0,0,22.22
Czechia,1,0.059,0,47.22
Democratic Republic of Congo,0,0,0,11.11
Denmark,1,0.152,1.59,37.96
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,0,0,0,11.11
Ecuador,0,0,0,8.33
Egypt,0,0,0,0
El Salvador,1,0,0,41.67
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,11.11
Estonia,0,0.039,0,0
Eswatini,2,0,0,13.89
Ethiopia,0,0,0,2.78
Fiji,2,0,0,19.44
Finland,2,0.084,0,19.44
France,1,0,2.45,43.98
Gabon,2,0,0,13.89
Gambia,0,0,0,11.11
Georgia,1,0,0,45.37
Germany,2,0,2.92,32.87
Ghana,0,0,0,8.33
Greece,2,0.072,0,33.33
Grenada,0,0,0,0
Guatemala,2,0,0,30.56
Guinea,2,0,0,13.89
Guinea-Bissau,0,0,0,0
Guyana,2,0,0,25
Haiti,0,0,0,8.33
Honduras,0,0,0,11.11
Hungary,1,0.029,0,46.3
Iceland,2,0.094,0,16.67
India,2,0,0,26.85
Indonesia,1,0,0,37.04
International,0,0,0,0
Iran,1,0,1.51,48.15
Iraq,1,0,0,61.11
Ireland,0,0,0,11.11
Israel,2,0.017,0,33.33
Italy,1,0.216,2.27,85.19
Jamaica,2,0,0,30.56
Japan,1,0.09,1.43,40.74
Jordan,0,0,0,11.11
Kazakhstan,0,0,0,8.33
Kenya,2,0,0,13.89
Kosovo,2,0,0,25
Kuwait,1,0,0,60.19
Kyrgyzstan,2,0,0,22.22
Laos,0,0,0,9.26
Latvia,0,0.035,0,11.11
Lebanon,1,0,0,37.96
Lesotho,0,0,0,11.11
Liberia,0,0,0,11.11
Libya,0,0,0,5.56
Liechtenstein,0,0,0,0
Lithuania,0,0,0,11.11
Luxembourg,2,0.071,0,22.22
Madagascar,0,0,0,0
Malawi,0,0,0,11.11
Malaysia,2,0.062,1.97,22.22
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0.01,0,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,5.56
Mauritius,0,0,0,0
Mexico,0,0.002,0,2.78
Moldova,1,0,0,51.85
Monaco,1,0,0,61.11
Mongolia,1,0,0,57.41
Montenegro,0,0,0,0
Morocco,0,0.082,0,5.56
Mozambique,0,0,0,8.33
Myanmar,2,0,0,13.89
Namibia,0,0,0,2.78
Nepal,2,0,0,22.22
Netherlands,2,0,2.53,18.52
New Zealand,2,0.005,0,19.44
Nicaragua,0,0,0,8.33
Niger,0,0,0,0
Nigeria,0,0,0,11.11
North Macedonia,0,0,0,0
Norway,2,0.081,2.6,20.37
Oman,2,0,0,19.44
Pakistan,2,0,0,28.7
Palestine,1,0,0,74.07
Panama,0,0,0,8.33
Papua New Guinea,2,0,0,13.89
Paraguay,1,0,0,39.81
Peru,2,0,0,16.67
Philippines,2,0,0,34.26
Poland,2,0,0,25
Portugal,2,0.039,0,25
Qatar,2,0,0,25
Romania,1,0,0,44.44
