country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,0,0,0,71.3
Albania,4,0,0,57.41
Algeria,6,0,0,85.19
Andorra,4,0,0,45.37
Angola,6,0,0,79.17
Antigua and Barbuda,7,0,0,0
Argentina,6,0.437,2.5,87.96
Armenia,7,0,0,0
Australia,3,2.417,185.9,79.17
Austria,1,0.972,66.2,35.19
Azerbaijan,6,0,0,85.19
Bahamas,7,0,0,0
Bahrain,0,5.907,20.2,69.44
Bangladesh,6,0.09,4.5,80.09
Barbados,4,0,0,48.15
Belarus,1,0,68.6,16.67
Belgium,0,2.214,32.5,64.81
Belize,0,0,0,72.69
Benin,4,0,0,41.67
Bhutan,6,0,0,97.22
Bolivia,6,0.322,2.1,84.26
Bosnia and Herzegovina,0,0,0,59.26
Botswana,4,0,0,56.94
Brazil,0,0,0,72.69
Brunei,5,0,0,39.81
Bulgaria,4,0.528,20.3,38.89
Burkina Faso,4,0,0,48.15
Burundi,7,0,0,11.11
Cambodia,4,0,0,47.22
Cameroon,0,0,0,60.19
Canada,1,0.968,111.8,67.13
Cape Verde,0,0.579,0,65.28
Central African Republic,4,0,0,54.63
Chad,0,0,0,64.81
Chile,6,1.164,12.7,81.94
China,6,0,0,78.24
Colombia,6,0.788,0,87.04
Comoros,7,0,0,0
Congo,0,0,0,67.59
Costa Rica,0,0.246,0,72.22
Cote d'Ivoire,5,0.026,12.2,31.94
Croatia,5,0.319,17.7,35.19
Cuba,1,0.376,72.2,82.41
Cyprus,3,4.594,237.4,47.22
Czechia,4,0.812,31.5,36.11
Democratic Republic of Congo,4,0.005,8.2,51.85
Denmark,3,5.788,189.4,50.93
Djibouti,4,0,0,50.93
Dominica,5,0,0,36.11
Dominican Republic,6,0.403,3.8,78.7
Ecuador,6,0.123,0,76.39
Egypt,0,0,0,62.96
El Salvador,6,0.379,5.7,89.81
Equatorial Guinea,7,0,0,0
Eritrea,6,0,0,89.81
Estonia,1,1.276,121.5,23.15
Eswatini,6,0,0,80.56
Ethiopia,6,0.103,15.9,80.56
Fiji,4,0.045,0,54.63
Finland,3,1.92,390.1,35.19
France,1,1.634,45.5,46.3
Gabon,0,0,0,66.67
Gambia,6,0,0,77.78
Georgia,4,0,0,57.41
Germany,4,0,0,56.94
Ghana,4,0.064,3.4,52.78
Greece,1,1.013,63.5,46.3
Grenada,7,0,0,0
Guatemala,6,0.241,3.7,87.04
Guinea,0,0,0,70.83
Guinea-Bissau,7,0,0,0
Guyana,6,0,0,75.93
Haiti,5,0,0,25
Honduras,6,0,0,96.3
Hungary,1,0.083,79.4,49.07
Iceland,1,3.487,93.2,46.3
India,6,0.506,10.5,79.63
Indonesia,0,0.049,6.6,59.72
International,7,0,0,0
Iran,0,0.294,10.7,60.19
Iraq,6,0.47,5.6,92.59
Ireland,1,0.815,55.6,59.72
Israel,4,3.196,14.8,43.52
Italy,1,0.672,117.9,50.93
Jamaica,0,0.2,28.7,71.3
Japan,5,0.26,16.8,32.41
Jordan,4,0,0,56.48
Kazakhstan,6,0.536,8.2,80.56
Kenya,0,0.078,9.4,73.15
Kosovo,0,0,0,69.44
Kuwait,0,0.857,5.9,65.74
Kyrgyzstan,6,0,0,79.17
Laos,5,0,0,36.11
Latvia,3,1.234,287.8,47.22
Lebanon,5,0,0,24.07
Lesotho,0,0,0,71.3
Liberia,0,0,0,64.81
Libya,6,0.382,5.9,87.96
Liechtenstein,7,0,0,0
Lithuania,3,1.38,160.4,34.26
Luxembourg,1,10.496,127.2,35.19
Madagascar,0,0.019,3.5,67.59
Malawi,0,0.024,9,64.81
Malaysia,2,0.302,712.6,57.41
Maldives,7,2.126,9.8,0
Mali,4,0,0,47.22
Malta,1,4.856,49.7,0
Marshall Islands,7,0,0,0
Mauritania,5,0.08,12.4,29.63
Mauritius,5,0,0,16.67
Mexico,0,0.116,2,70.83
Moldova,4,0,0,57.41
Monaco,7,0,0,0
Mongolia,0,0,0,60.19
Montenegro,7,0,0,0
Morocco,0,0.596,19.4,70.37
Mozambique,0,0.029,19.9,75
Myanmar,8,0.02,1993,74.07
Namibia,4,0.438,9.3,52.31
Nepal,6,0.359,19.1,90.74
Netherlands,5,0,0,39.81
New Zealand,8,0.864,24580.4,22.22
Nicaragua,5,0,0,20.37
Niger,5,0,0,17.59
Nigeria,0,0,8.7,69.44
North Macedonia,7,0.905,12,0
Norway,3,2.393,151.2,40.74
Oman,6,0,0,89.81
Pakistan,4,0.083,25.8,47.69
Palestine,6,0,0,83.33
Panama,6,0.725,3,83.33
Papua New Guinea,6,0,0,80.56
Paraguay,6,0.303,6.2,78.7
Peru,6,0.204,0,81.48
Philippines,6,0.246,8.3,79.63
Poland,4,0.542,33,39.81
Portugal,1,1.678,76,66.2
Qatar,6,1.674,11.5,77.78
Romania,4,1.014,14.4,42.59
Russia,1,1.676,52.2,68.06
Rwanda,3,0.398,433.3,75.93
Saint Kitts and Nevis,7,0,0,0
Saint Lucia,7,0,0,0
Saint Vincent and the Grenadines,7,0,0,0
Samoa,7,0,0,0
San Marino,5,0,0,33.33
Sao Tome and Principe,7,0,0,0
Saudi Arabia,1,2.035,44.3,60.19
Senegal,5,0.052,11,32.41
Serbia,0,1.188,33.5,55.56
Seychelles,5,0,0,34.26
Sierra Leone,5,0,0,32.41
Singapore,1,0,59.5,50
Slovakia,1,0.573,58.5,35.19
Slovenia,1,0.538,62.8,50
Solomon Islands,5,0,0,36.11
Somalia,5,0,0,23.15
South Africa,6,0.194,4.5,80.56
South Korea,3,0.165,191.1,44.91
South Sudan,6,0,0,81.48
Spain,0,0,15.5,60.65
Sri Lanka,3,0.136,231.8,41.67
Sudan,0,0,0,69.91
Suriname,6,0,0,85.19
Sweden,0,0.801,25.6,59.26
Switzerland,1,0.851,33.7,43.06
Syria,0,0,0,62.04
Taiwan,3,0.006,325.7,23.15
Tajikistan,4,0,0,47.22
Tanzania,5,0,0,27.78
Thailand,2,0.059,957.8,52.78
Timor,5,0,0,29.63
Togo,1,0.116,59.2,45.37
Trinidad and Tobago,0,0.317,24.7,60.19
Tunisia,1,0.102,51.8,24.07
Turkey,1,0.732,50.2,48.15
Uganda,3,0.07,179.1,81.48
Ukraine,0,0.369,12.3,57.87
United Arab Emirates,3,6.482,250.6,43.52
United Kingdom,3,2.173,159.9,69.91
United States,0,2.634,0,67.13
Uruguay,3,0.631,163.1,26.85
Uzbekistan,0,0,0,73.15
Vanuatu,0,0,0,66.67
Vatican,7,0,0,0
Venezuela,6,0,0,86.11
Vietnam,2,0,653.7,75.46
Yemen,5,0,0,31.48
Zambia,4,0.02,4.3,50.93
Zimbabwe,6,0.121,17.6,80.56
