country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,3,0,0,16.67
Albania,1,0,0,54.63
Algeria,4,0,0,75.93
Andorra,1,0,0,57.41
Angola,4,0,0,71.3
Antigua and Barbuda,7,0,0,0
Argentina,4,0.305,1.9,82.87
Armenia,7,0,0,0
Australia,6,0,2350.2,65.28
Austria,0,1.25,13.6,58.8
Azerbaijan,4,0,0,66.2
Bahamas,7,0,0,0
Bahrain,0,4.786,30.1,63.89
Bangladesh,4,0.072,9,80.09
Barbados,3,0,0,29.63
Belarus,7,0,33.2,16.67
Belgium,1,3.856,7,45.37
Belize,4,0,0,69.44
Benin,1,0,0,47.22
Bhutan,4,0,0,77.78
Bolivia,4,0.033,5.6,84.26
Bosnia and Herzegovina,1,0,0,40.74
Botswana,4,0,0,63.89
Brazil,4,0,0,63.43
Brunei,3,0,0,35.19
Bulgaria,3,0.662,7,35.19
Burkina Faso,3,0,0,22.22
Burundi,7,0,0,14.81
Cambodia,3,0,0,34.26
Cameroon,1,0,0,45.37
Canada,0,1.442,28.1,60.65
Cape Verde,4,0.597,5.3,68.52
Central African Republic,3,0,0,31.48
Chad,4,0,0,74.07
Chile,4,1.942,19.4,81.94
China,1,0,0,61.57
Colombia,4,0.52,0,71.3
Comoros,7,0,0,0
Congo,1,0,0,50.93
Costa Rica,1,0,0,58.33
Cote d'Ivoire,2,0.047,40.4,36.11
Croatia,3,1.205,7.5,28.7
Cuba,5,0.575,207.8,64.81
Cyprus,2,4.211,37.9,46.3
Czechia,1,1.61,3.7,48.15
Democratic Republic of Congo,1,0.002,0,48.15
Denmark,2,5.224,80.5,41.67
Djibouti,1,0,0,47.22
Dominica,3,0,0,31.48
Dominican Republic,0,0.301,8.4,67.59
Ecuador,1,0.247,0,52.78
Egypt,4,0,0,75.93
El Salvador,0,0.373,14.3,52.78
Equatorial Guinea,7,0,0,0
Eritrea,4,0,0,82.41
Estonia,2,0.912,78.8,25.93
Eswatini,1,0,0,59.26
Ethiopia,0,0.062,9.6,65.74
Fiji,1,0.062,0,49.07
Finland,2,1.52,70.1,36.57
France,1,0.601,9.3,49.54
Gabon,4,0,0,72.22
Gambia,1,0,0,60.19
Georgia,1,0,0,59.26
Germany,0,0,28.6,58.8
Ghana,2,0.061,37.1,44.44
Greece,0,1.429,39.6,59.72
Grenada,7,0,0,0
Guatemala,1,0.086,7.4,49.54
Guinea,3,0,0,39.35
Guinea-Bissau,7,0,0,0
Guyana,4,0,0,72.22
Haiti,1,0,0,47.22
Honduras,4,0,0,84.26
Hong Kong,1,0,0,51.85
Hungary,1,1.035,8,40.74
Iceland,1,2.412,25,37.04
India,0,0.703,17.1,64.35
Indonesia,1,0.082,7.8,50.46
International,7,0,0,0
Iran,0,0,6.6,58.8
Iraq,0,0.47,5.6,61.11
Ireland,0,3.269,15,61.57
Israel,0,3.181,20.6,81.48
Italy,0,2.424,16.5,50
Jamaica,0,0.187,6.4,67.59
Japan,2,0.041,32.8,38.89
Jordan,4,0,0,78.7
Kazakhstan,2,1.133,82.8,74.07
Kenya,0,0.091,9.2,64.81
Kosovo,1,0,0,52.78
Kuwait,0,1.161,9.1,62.96
Kyrgyzstan,1,0,0,57.87
Laos,3,0,0,36.11
Latvia,2,1.426,37.3,33.33
Lebanon,1,0,0,59.26
Lesotho,1,0,0,47.22
Liberia,1,0,0,57.41
Libya,4,0,0,80.56
Liechtenstein,7,0,0,0
Lithuania,0,1.435,34.9,54.17
Luxembourg,2,1.709,41.2,47.22
Madagascar,2,0,122,44.44
Malawi,2,0.012,49.2,50.93
Malaysia,0,0.705,30.4,65.74
Maldives,7,2.316,30.5,0
Mali,3,0,0,37.96
Malta,7,5.8,21.4,0
Marshall Islands,7,0,0,0
Mauritania,7,0,32.9,17.59
Mauritius,3,0,0,16.67
Mexico,4,0.034,2.6,71.76
Moldova,1,0,0,48.15
Monaco,7,0,0,0
Mongolia,1,0,0,40.74
Montenegro,7,0,0,0
Morocco,0,0.615,7.7,60.19
Mozambique,0,0.044,15.2,62.04
Myanmar,4,0,0,81.02
Namibia,1,0.285,17.6,37.96
Nepal,0,0.472,4.3,63.89
Netherlands,0,0,7.8,62.04
New Zealand,6,0.368,1939.8,22.22
Nicaragua,7,0,0,8.33
Niger,7,0,0,12.04
Nigeria,0,0.013,22,50.93
North Macedonia,7,0.37,4.9,0
Norway,2,1.189,97,32.41
Oman,4,0,0,73.15
Pakistan,2,0.145,52.3,53.24
Palestine,4,0.693,9.5,82.41
Panama,0,1.106,8.6,59.26
Papua New Guinea,1,0,0,45.37
Paraguay,0,0.377,4,64.81
Peru,4,0.078,0,82.41
Philippines,0,0.176,12.7,68.98
Poland,3,0.921,5.9,32.87
Portugal,0,1.481,14.3,56.94
Qatar,0,2.598,31.4,64.81
Romania,1,1.014,7.2,44.44
Russia,0,3.082,31.4,44.91
Rwanda,5,0.145,197.7,63.89
Saint Kitts and Nevis,7,0,0,0
Saint Lucia,7,0,0,0
Saint Vincent and the Grenadines,7,0,0,0
Samoa,7,0,0,0
San Marino,3,0,0,29.63
Sao Tome and Principe,7,0,0,0
Saudi Arabia,2,1.404,116.7,57.41
Senegal,2,0.069,47.9,43.52
Serbia,0,0.489,30.3,54.63
Seychelles,3,0,0,31.48
Sierra Leone,3,0,0,31.48
Singapore,8,0,5688.8,50
Slovakia,1,0.92,7,53.7
