country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,3,0,0,67.59
Albania,0,0,0,84.26
Algeria,0,0,0,86.57
Andorra,4,0,0,48.15
Angola,8,0,0,90.74
Antigua and Barbuda,1,0,0,0
Argentina,8,0.024,8.3,100
Armenia,1,0,0,0
Australia,7,0,43.6,73.15
Austria,6,0.643,17.5,81.48
Azerbaijan,8,0,0,88.89
Bahamas,1,0,0,0
Bahrain,7,0.74,38.4,78.7
Bangladesh,7,0.002,78.6,87.04
Barbados,0,0,0,83.33
Belarus,1,0,26,12.96
Belgium,0,0.463,4,81.48
Belize,3,0,0,75
Benin,3,0,0,70.83
Bhutan,0,0,0,83.33
Bolivia,6,0,10.8,84.26
Bosnia and Herzegovina,8,0,0,89.81
Botswana,0,0,0,86.11
Brazil,3,0,0,74.54
Brunei,4,0,0,52.78
Bulgaria,3,0,0,71.3
Burkina Faso,0,0,0,84.26
Burundi,1,0,0,13.89
Cambodia,2,0,0,57.41
Cameroon,3,0,0,68.52
Canada,6,0.448,16.8,72.69
Cape Verde,0,0,0,79.63
Central African Republic,3,0,0,68.52
Chad,4,0,0,33.33
Chile,3,0.235,9.4,73.15
China,3,0,0,69.91
Colombia,0,0.024,0,87.96
Comoros,1,0,0,0
Congo,8,0,0,97.22
Costa Rica,3,0.038,0,75
Cote d'Ivoire,0,0,0,80.56
Croatia,8,0.142,9.9,96.3
Cuba,6,0.106,28,66.67
Cyprus,6,0.797,17.1,92.59
Czechia,6,0.545,22.1,74.07
Democratic Republic of Congo,0,0,0,77.78
Denmark,6,0.638,14.4,72.22
Djibouti,8,0,0,94.44
Dominica,0,0,0,79.63
Dominican Republic,8,0.059,3.4,92.59
Ecuador,8,0.01,0,93.52
Egypt,0,0,0,84.26
El Salvador,8,0,0,88.89
Equatorial Guinea,1,0,0,0
Eritrea,8,0,0,93.52
Estonia,6,1.065,28.2,77.78
Eswatini,8,0,0,89.81
Ethiopia,6,0.001,24.8,68.52
Fiji,6,0,16,88.89
Finland,6,0.582,16.3,67.59
France,0,0,0,87.96
Gabon,3,0,0,66.67
Gambia,0,0,0,78.7
Georgia,8,0,0,100
Germany,3,0,0,76.85
Ghana,5,0,110.2,86.11
Greece,6,0.086,14.7,84.26
Grenada,1,0,0,0
Guatemala,8,0.001,10.4,93.52
Guinea,0,0,0,78.7
Guinea-Bissau,1,0,0,0
Guyana,0,0,0,85.19
Haiti,0,0,0,82.41
Honduras,8,0,0,100
Hungary,6,0.171,27.2,76.85
Iceland,4,5.14,21.8,53.7
India,6,0.008,23.3,100
