country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,1,0.308,0,5.215
Albania,5,4.865,0,196.331
Algeria,0,0.388,0,24.811
Andorra,2,0,0,634.181
Angola,1,0.03,0,2.434
Antigua and Barbuda,1,0,0,0
Argentina,4,2.213,0,92.575
Armenia,3,7.087,0,467.395
Australia,1,0,0,0.51
Austria,2,6.662,75.835,580.254
Azerbaijan,3,2.367,0,315.213
Bahamas,6,0,0,45.773
Bahrain,6,0,0,66.996
Bangladesh,0,0.231,0,12.508
Barbados,0,0,0,13.919
Belarus,5,0.741,0,165.515
Belgium,5,8.283,103.023,161.783
Belize,5,10.06,0,183.592
Benin,1,0,0,0
Bhutan,1,0,0,3.888
Bolivia,1,0.257,0,4.797
Bosnia and Herzegovina,5,9.144,0,212.447
Botswana,1,0,0,0
Brazil,4,0.913,0,87.576
Brunei,1,0,0,0
Bulgaria,5,8.635,58.718,161.619
Burkina Faso,1,0,0,1.531
Burundi,1,0,0,0.505
Cambodia,1,0,0,0
Cameroon,1,0,0,0
Canada,4,1.245,0,125.721
Cape Verde,4,0,0,75.541
Central African Republic,1,0,0,0
Chad,1,0,0,0.548
Chile,4,2.04,0,78.311
China,1,0,0,0.055
Colombia,5,3.596,0,155.73
Comoros,1,0,0,0
Congo,1,0,0,0
Costa Rica,1,0,0,0
Cote d'Ivoire,1,0.076,0,0.455
Croatia,2,11.936,0,805.794
Cuba,1,0,0,4.238
Cyprus,5,1.142,0,213.495
Czechia,5,9.431,77.318,141.283
Democratic Republic of Congo,1,0,0,0
Denmark,5,0.518,6.733,146.922
Djibouti,1,0,0,7.085
Dominica,1,0,0,0
Dominican Republic,6,0.184,0,58.998
Ecuador,6,3.514,0,43.473
Egypt,1,0.127,0,3.43
El Salvador,6,0.771,0,48.102
Equatorial Guinea,1,0,0,0
Eritrea,1,0,0,0
Estonia,5,0.754,12.815,263.091
Eswatini,0,0.862,0,12.067
Ethiopia,1,0.096,0,3.766
Fiji,1,0,0,0
Finland,4,0,0,76.344
France,5,3.279,68.803,201.567
Gabon,1,0,0,0
Gambia,1,0,0,0
Georgia,2,12.283,0,1014.746
Germany,6,1.17,0,52.242
Ghana,1,0,0,5.053
Greece,5,9.882,0,143.72
Grenada,1,0,0,0
Guatemala,0,0.112,0,11.833
Guinea,1,0,0,2.132
Guinea-Bissau,1,0,0,0
Guyana,6,0,0,50.854
Haiti,1,0,0,0
Honduras,1,0,0,0
Hungary,3,11.49,0,447.189
Iceland,0,0,0,23.443
India,0,0.37,0,31.927
Indonesia,0,0.402,0,15.94
International,1,0,0,0
Iran,5,5.655,0,155.406
Iraq,6,0.82,0,43.906
Ireland,6,0.203,6.278,64.401
Israel,4,1.964,0,88.383
Italy,3,9.295,62.866,468.676
Jamaica,0,0.338,0,14.859
Japan,0,0.087,0,17.102
Jordan,3,6.273,0,516.312
Kazakhstan,6,0.107,0,46.494
Kenya,0,0.26,0,18.002
Kosovo,3,5.174,0,365.795
Kuwait,4,0.702,0,75.4
Kyrgyzstan,6,0.613,0,66.215
Laos,1,0,0,0
Latvia,5,0,0,199.342
Lebanon,5,0.879,0,174.787
Lesotho,1,0,0,0.467
Liberia,1,0,0,0
Libya,5,3.056,0,147.716
Liechtenstein,4,0,0,78.664
Lithuania,2,4.408,0,847.448
Luxembourg,1,0,75.083,0
Madagascar,1,0.036,0,1.119
Malawi,1,0,0,0
Malaysia,0,0.093,0,33.863
Maldives,6,1.85,0,55.5
Mali,1,0.099,0,2.42
Malta,5,0,0,231.01
Marshall Islands,1,0,0,0
Mauritania,1,0,0,6.882
Mauritius,1,0,0,0
Mexico,4,2.35,0,71.254
Moldova,3,4.71,0,310.365
Monaco,0,0,0,25.482
Mongolia,1,0,0,9.761
Montenegro,2,7.961,0,651.21
Morocco,4,1.626,0,107.801
Mozambique,1,0.032,0,1.792
Myanmar,0,0.312,0,25.694
Namibia,0,0,0,21.252
Nepal,6,0.549,0,57.281
Netherlands,3,1.226,33.149,319.407
New Zealand,1,0,0,0.415
Nicaragua,1,0,0,0
Niger,1,0,0,0.702
Nigeria,1,0.005,0,0.752
